property_id,date_obtained,price,property_type,livable_area,heating_type,has_photovoltaic_panels,has_double_glazing,number_of_rooms,number_of_bathrooms,number_of_bedrooms,number_of_toilets,has_living_room,has_dining_room,has_attic,has_basement,has_terrace,terrace_surface,has_garden,garden_surface,energy_label,primary_energy_consumption,postal_code,latitude,longitude,year_built,building_condition,floor_number,total_floors,property_size,flood_zone_type,cadastral_income
11378662,18052024,456500,HOUSE,185.0,,,True,,2.0,3,2.0,True,,,,True,17.0,,,,,9040,51.0692604,3.7534824,2023.0,AS_NEW,,2.0,0.0,NON_FLOOD_ZONE,0
11378662,16052024,456500,HOUSE,185.0,,,True,,2.0,3,2.0,True,,,,True,17.0,,,,,9040,51.0692604,3.7534824,2023.0,AS_NEW,,2.0,0.0,NON_FLOOD_ZONE,0
11313162,18052024,525000,HOUSE,155.0,,False,True,10.0,1.0,3,1.0,True,,,,,,,,B,191.0,9000,51.050699,3.7084487,1910.0,JUST_RENOVATED,,,78.0,NON_FLOOD_ZONE,617
11313162,16052024,525000,HOUSE,155.0,,False,True,10.0,1.0,3,1.0,True,,,,,,,,B,191.0,9000,51.050699,3.7084487,1910.0,JUST_RENOVATED,,,78.0,NON_FLOOD_ZONE,617
11098854,18052024,529000,HOUSE,202.0,,False,True,14.0,1.0,5,2.0,False,,True,,,,,,E,490.0,9000,51.0436876,3.7234403,1899.0,TO_RENOVATE,,,147.0,NON_FLOOD_ZONE,691
11098854,16052024,529000,HOUSE,202.0,,False,True,14.0,1.0,5,2.0,False,,True,,,,,,E,490.0,9000,51.0436876,3.7234403,1899.0,TO_RENOVATE,,,147.0,NON_FLOOD_ZONE,691
11373241,18052024,359900,APARTMENT,101.0,GAS,False,,,1.0,2,2.0,False,,,,,,,,C,258.0,9030,51.0715005,3.6810355,2000.0,GOOD,,,,,1068
11373241,16052024,359900,APARTMENT,101.0,GAS,False,,,1.0,2,2.0,False,,,,,,,,C,258.0,9030,51.0715005,3.6810355,2000.0,GOOD,,,,,1068
11365526,18052024,595000,HOUSE,382.0,,,,,1.0,3,,False,,True,True,True,,,,F,540.0,9031,51.035236,3.6245261,1970.0,TO_BE_DONE_UP,,,2539.0,,1774
11365526,16052024,595000,HOUSE,382.0,,,,,1.0,3,,False,,True,True,True,,,,F,540.0,9031,51.035236,3.6245261,1970.0,TO_BE_DONE_UP,,,2539.0,,1774
